English, Tamil
thou art able to grant rain in torrents, ஆயிரங்கண் கொண்டவனே
thou art vayu the air, சச்சியின் சசியின் மணாளனே
the clouds, சூரியனால் சுடப்பட்ட பாம்புகளை உனது மழைத்துளிகளால் காப்பாற்றுவாயாக
fire, ஓ தேவர்களில் சிறந்தவனே! எங்கள் சிறந்த காப்பாளன் நீயே
and the lightning of the skies, ஓ புரந்தரா! பருவகாலத்தில் மழைத்தாரைக்கு உத்தரவிடுபவன் நீயே
thou art the propeller of the clouds, வாயு நீயே
and hast been called the great cloud i, மேகம் நீயே
that which will darken the universe at the end of yuga, நெருப்பு நீயே
thou art the fierce and incomparable thunder, வானில் காணும் மின்னல் நீயே
and the roaring clouds, மேகங்களைப் பரவச் செய்பவன் நீயே
thou art the creator of the worlds and their destroyer, யுக முடிவில் அண்டத்தை இருளாக்கும் பெருமேகம் என்றழைக்கப்படுபவன் நீயே
thou art unconquered, ஒப்புயர்வற்ற
thou art the light of all creatures, பயங்கரமான இடியும் முழங்கும் மேகங்களும் நீயே
aditya, உலகத்தைப் படைத்தவன் நீயே
vibhavasu, அதை அழிப்பவன் நீயே
and the wonderful elements, வெல்லப்பட முடியாதவன் நீயே
thou art the ruler of all the gods, அனைத்து உயிரினங்களுக்கும் ஒளி நீயே
thou art vishnu, ஆதித்யன்
thou hast a thousand eyes, விபாவசு
thou art a god, அற்புதமான பூதங்கள் நீயே
and the final resource, தேவர்கள் அனைவருக்கும் தலைவன் நீயே
thou art, விஷ்ணு நீயே
o deity, ஆயிரங்கண் கொண்டவனே! தேவன் நீயே
all amrita, இறுதிப் பாதுகாப்பு நீயே
and the most adored soma, ஓ தேவனே! அமுதமும்
thou art the moment, போற்றுதலுக்குரிய சோமமும் நீயே
the lunar day, சந்திர நாள் திதி [அ] ஒரு நாள் நீயே
the bala minute, பலா லவம் ஒரு நிமிடம் நீயே
thou art the kshana minutes, க்ஷணம் நான்கு நிமிடம் நீயே
thou art the lighted fortnight, வளர்பிறையும் சுக்லபக்ஷமும் நீயே
and also the dark fortnight, தேய்பிறையும் கிருஷ்ணபக்ஷமும் நீயே
thou art kala, கண் இமைக்கும் நேரமான த்ருடி நீயே
thou kashtha, பதினெட்டு த்ருடிகள் கொண்ட காஷ்டை நீயே
and thou truti, முப்பது காஷ்டைகள் கொண்ட கலை நீயே
thou art the year, வருடம் நீயே
the seasons, பருவங்கள் நீயே
the months, மாதங்கள் நீயே
the nights, இரவுகள் நீயே
and the days, பகல்கள் நீயே
thou art the fair earth with her mountains and forests, மலைகளும்
thou art also the firmament, கானகங்களும் நிறைந்த அழகான பூமி நீயே
resplendent with the sun, சூரியனால் ஒளிரும் வானம் நீயே
thou art the great ocean with heaving billows and abounding with whales, திமிங்கலங்களையும்
swallowers of whales, திமிங்கலங்களையே விழுங்கும் உயிரினங்களையும்
and makaras, மகரங்களையும் பல்வேறு மீன்களையும் தன்னகத்தே கொண்ட அலைகள் நிறைந்த பெருங்கடல் நீயே
and various fishes, மிகுந்த கவனமுடைய ரிஷிகளாலும்
thou art of great renown, ஞானமுள்ளவர்களாலும் போற்றப்படுபவன் நீயே
always adored by the wise and by the great rishis with minds rapt in contemplation, வேள்விகளில் உண்டாகும் சோமரசத்தையும்
thou drinkest, மந்திரங்களோடு கூடிய தெளிந்த நெய்யையும்
for the good of all creatures, உலகில் உள்ள அனைத்து உயிரினங்களின் நன்மைக்காகவும் குடிப்பவன் நீயே
the soma juice in sacrices and the claried butter offered with sacred invocation, ஆசையின் கனிகளில் விருப்பமுள்ள பிராமணர்களால் எப்போதும் வேள்விகளில் வழிபடப்படுபவன் நீயே
thou art always worshipped at sacrices by brahmanas moved by desire of fruit, ஒப்பில்லாத பலம் வாய்ந்தவன் நீயே
o thou of incomparable mass of strength, வேதங்களிலும் வேதாங்கங்களிலும் பாடப்படுபவன் நீயே
thou art sung in the vedas and vedangas, படித்த பிராமணர்கள் எப்போதும் வேள்விகளை நடத்திக் கொண்டு
it is for that reason that learned brahmanas bent upon performing sacrices, வேதங்களை அதிக அக்கறையுடன் படிக்கக் காரணம் நீயே இப்படியே கத்ரு இந்திரனை போற்றினாள் என்றார் சௌதி
study the vedas with every care, வேதங்களை அதிக அக்கறையுடன் படிக்கக் காரணம் நீயே இப்படியே கத்ரு இந்திரனை போற்றினாள் என்றார் சௌதி
his bearer, சௌதி சொன்னார்
thus adored by kadru, தேவமன்னனும்
covered the entire firmament with masses of blue clouds, குதிரைகளிலே சிறந்தவற்றைத் தன் தேரிலே கொண்டவனுமான இந்திரன்
and he commanded the clouds, கத்ருவால் இப்படி வழிபடப்பட்ட பிறகு
saying, வானவட்டத்தை நீலநிறப் பெருமேகங்களால் மறைத்து
pour ye, அம்மேகங்களிடம்
your vivying and blessed drops! and those clouds, உயிருண்டாக்கவல்ல
luminous with lightning, புனிதமான உங்கள் துளிகளைப் பொழியுங்கள் என்று பணித்தான்
and incessantly roaring against each other in the welkin, அந்த மேகங்கள் மின்னலுடன் கூடிய ஒளி பொருந்தி
poured abundant water, தடையேதுமின்றி ஒன்றோடொன்று ஆகாயத்தில் முழங்கியபடியே பெருமழையைப் பொழிந்தன
and the sky, அற்புதமானதும்
in consequence of those wonderful and terribly-roaring clouds that were incessantly begetting vast quantities of water, பயங்கரமாகக் கர்ஜிப்பதும்
looked as the end of yuga had come, இடைவிடாது பெரும் நிறைகொண்ட நீரைப் பொழிவதுமான அந்த மேகங்களால் வானமானது யுக முடிவு வந்ததைப்போலக் காட்சியளித்தது
and in consequence of the myriads of waves caused in the falling torrents, பெரும் மழையினால் அலைகள் போன்ற மழைத்தாரைகளுடனும்
the deep roar of the clouds, மேகங்களின் முழக்கங்களுடனும்
the flashes of lightning, மின்னல்களின் ஒளிகளுடனும்
the violence of the wind, காற்றின் கடுமையாலும்
and the general agitation, கொந்தளிப்பாலும் ஆகாயமானது பித்துப் பிடித்து ஆடுவதுபோலக் காட்சியளித்தது
the sky looked as dancing in madness, வானம் முழுவதும் மேகங்களால் மறைக்கப்பட்டது
the sky became overcast, இடைவிடாத பெருமழையால் கதிரவன் மற்றும் சந்திரனின் கதிர்கள் முற்றிலுமாக மறைந்தன
and the rays of the sun and the moon totally disappeared in consequence of that incessant downpour, இந்திரன் பெருமழைப் பொழிந்ததால் பாம்புகள் மிகுந்த மகிழ்வுற்றன
and upon indras causing that downpour, பூமி எங்கும் நீர் நிறைந்தது
the nagas became exceedingly delighted, தெளிவான
and the earth was filled with water all around, குளிர்ந்த நீர் பாதாளம் வரை பாய்ந்தது
and the cool, பூமியெங்கும் எண்ணிக்கையில் அடங்காத அலைகள் நிறைந்த நீர் சூழ்ந்தது
clear water reached even the nether regions, பூமியெங்கும் எண்ணிக்கையில் அடங்காத அலைகள் நிறைந்த நீர் சூழ்ந்தது
and there were countless waves of water all over the earth, பாம்புகளும் அவர்களின் தாயும் கத்ருவும் ரமணீயகமென்னும் தீவை பத்திரமாக அடைந்தனர் என்றார் சௌதி
and the snakes with their mother reached in safety the island called ramaniyaka, பாம்புகளும் அவர்களின் தாயும் கத்ருவும் ரமணீயகமென்னும் தீவை பத்திரமாக அடைந்தனர் என்றார் சௌதி
sauti said, சௌதி சொன்னார்
and then the nagas drenched by that shower, மழையில் நனைந்த பாம்புகள்
became exceedingly glad, அதன்பிறகு மிகவும் மகிழ்ந்திருந்தன
and borne by that bird of fair feathers, அந்த அழகான இறகுகள் கொண்ட பறவையானவன் கருடன் தங்களைச் சுமந்து செல்ல விரைவாகத் தீவை அடைந்தனர்
they soon arrived at the island, அந்தத் தீவு
that island had been fixed by the creator of the universe as the abode of the makaras, மகரங்களின் இருப்பிடமாக
there they saw the terrible lavana samudra ocean of salt, அண்டம் படைத்தோனால் தீர்மானிக்கப்பட்டிருந்தது
on arriving there with garuda, அங்கே அவர்கள் பயங்கரமான லவணச் சமுத்திரத்தைக் உப்புக் கடல் கண்டனர்
they saw there a beautul forest washed by the waters of the sea and resounding with the music of winged choirs, கருடனுடன் வந்தவர்கள் அங்கே நீரால் சுத்தம் செய்யப்பட்ட ஓர் அழகான காடு கடலின் மடியில் இருந்ததையும்
and there were clusters of trees all around laden with various fruits and flowers, இறகுகள் கொண்ட இசைக்கலைஞர்களின் பாடும் பறவைகளின் இன்னிசை எங்கும் நிறைந்து இருந்ததையும் உணர்ந்தனர்
and there were also fair mansions all around, அப்படிப்பட்ட அக்கானகத்தில் கருடனுடன் அப்பாம்புகள் வந்திறங்கினர்
and many tanks full of lotuses, அங்கே
and it was also adorned with many lakes of pure water, கொத்துக் கொத்தாக மரங்கள் பலவகைப்பட்ட மலர்களுடனும் பழங்களுடனும் நிறைந்து இருந்தன
and it was refreshed with pure incense-breathing breezes, அழகான மாளிகைகளும் அங்கு நிறைந்திருந்தன
and it was adorned with many a tree that grew only on the hills of malaya, தாமரை நிறைந்த தடாகங்களாலும் நிறைந்திருந்தன
and seemed by their tallness to reach the very heavens, சுத்தமான நீர் கொண்ட பல ஏரிகள் அங்கு இருந்தன
and there were also various other trees whose flowers were scattered all around by the breeze, அங்குத் தவழ்ந்த சுத்தமணங்கொண்ட தென்றலால் உற்சாகம் நிலவியது
and that forest was charming and dear to the gandharvas and always gave them pleasure, மலய மலையில் மட்டுமே விளையும் பல மரங்கள் அங்கே இருந்தன
and it was full of bees maddened with the honey they sucked, அவற்றின் உயரங்கள் விண்ணை முட்டும் அளவுக்கு இருந்தன
and the sight of all this was exceedingly delightful, இன்னும் பல மரங்களில்
and in consequence of many things there, அவற்றின் மலர்கள் உதிர்ந்து தென்றலின் உதவியால் அழகாகப் பரவிக் கிடந்தன
capable of charming everybody, இப்படி அந்தக் கானகம் அழகாகவும்
that forest was fair, கந்தர்வர்களுக்கு எப்போதும் இன்பத்தைத் தருவதாகவும்
delightful, விருப்பமானதாகவும் இருந்தது
and holy, அது அந்த கானகமானது மலர்களில் இருந்து மதுவை உண்டு மதிமயங்கிய வண்டுகளால் நிறைந்திருந்தது
and, இந்தக் காட்சிகள் அனைத்தும் பெரும் மகிழ்ச்சியைத் தந்தன
echoing with the notes of various birds, இப்படி பல விஷயங்களால் அந்தக் கானகம் அனைவரையும் மகிழ்ச்சிப்படுத்துவதாகவும்
it delighted greatly the sons of kadru, அழகாகவும்
and the snakes, புனிதமானதாகவும் இருந்தது
after arriving at that forest, பல பறவைகளின் மெல்லிசைகளை எதிரொலித்த அது கத்ருவின் மைந்தர்களுக்கு மகிழ்ச்சியை அளித்தது
began to enjoy themselves, அந்தப் பாம்புகள் அந்தக் காட்டிற்கு வந்து மகிழ்ச்சியாகத் தங்கள் பொழுதைக் கழித்தன
and they commanded the lord of birds, பறவைகளின் மன்னனான சக்தி நிறைந்த கருடனிடம்
viz, அவை பாம்புகள்
garuda, வேறு ஏதேனும் அழகான
of great energy, சுத்தமான நீர் நிறைந்த தீவுக்கு எங்களை அழைத்துச் செல்வாயாக
saying, நீ விண்ணோடியாதலால்
[paragraph continues] convey us to some other fair island with pure water, அப்படிப் காற்றில் பறக்கும்போது நிறைய அழகான இடங்களைக் கண்டிருப்பாயே என்று கட்டளையிட்டனர்
thou ranger of the skies, கருடன் சிறிது நேரம் சிந்தித்துவிட்டு தனது தாய் வினதையிடம்
thou must have seen many fair regions while coursing through the air, “தாயே
garuda, இந்தப் பாம்புகளின் உத்தரவுகளை எல்லாம் நான் ஏன் நிறைவேற்ற வேண்டும்?” என்று கேட்டான்
alter reflecting for a few moments, இப்படிக்கேட்கப்பட்ட வினதை
asked his mother vinata, விண்ணோடியும்
saying, அனைந்து அறங்களும் நிறைந்தவனும்
why, பெரும் சக்தியும்
mother, பலமும் கொண்டவனுமான தன் மகனிடம் கருடனிடம்
have i to do the bidding of the snakes? vinata thus questioned by him spake unto that ranger of the skies, ஓ பறவைகளில் சிறந்தவனே
her son, என் கெடுபேறால் துரதிர்ஷ்டத்தால் நான் எனது சக்களத்தியிடம் அடிமையானேன்
invested with every virtue, அந்தப் பாம்புகள்
of great energy, ஏமாற்று வேலை செய்து
and great strength, பந்தயத்தில் தோற்கடித்து
as follows: vinata said, என்னை இந்த நிலைமைக்கு ஆளாக்கின என்றாள் வினதை
o thou best of birds, தனது தாய் இப்படிக் கூறியதைக் கேட்டு
i have become, அந்த விண்ணோடி கருடன் மிகவும் துன்புற்று
from misfortune, அந்தப் பாம்புகளிடம்
the slave of my co-we, பாம்புகளே
the snakes, பாம்புகளே
by an act of deception, நான் எந்தப் பொருளைக் கொண்டுவந்தால்
caused me to lose my bet and have made me so, நான் எந்தப் பொருளைக் கொண்டுவந்தால்
when his mother had told him the reason, அல்லது எந்தப் பொருளைப் பற்றிய அறிவை அடைந்தால்
that ranger of the skies, அல்லது எந்தப் பொருளைப் பற்றிய அறிவை அடைந்தால்
dejected with grief, அல்லது எந்த வீரச் செயலைச் செய்தால்
addressed the snakes, அல்லது எந்த வீரச் செயலைச் செய்தால்
saying, இந்த அடிமைத்தனத்திலிருந்து நாங்கள் விடுபடுவோம்
tell me, இந்த அடிமைத்தனத்திலிருந்து நாங்கள் விடுபடுவோம்
ye snakes, சொல்லுங்கள் என்று கேட்டான்
by bringing what thing, சொல்லுங்கள் என்று கேட்டான்
gaining a knowledge of what thing, சௌதி தொடர்ந்தார்
or doing what act of prowess, சௌதி தொடர்ந்தார்
we may be freed from this state of bondage to you, இதைக் கேட்ட பாம்புகள்
sauti continued, இதைக் கேட்ட பாம்புகள்
the snakes, உனது பலத்தால் அமுதத்தைக் கொண்டு வா
hearing him, உனது பலத்தால் அமுதத்தைக் கொண்டு வா
said, ஓ பறவையே கருடா
bring thou amrita by force, ஓ பறவையே கருடா
then o bird, அப்போது நீங்கள் உங்கள் அடிமைத்தனத்திலிருந்து விடுதலை பெறுவீர்கள் என்றன பாம்புகள்”
shall you be freed from bondage, அப்போது நீங்கள் உங்கள் அடிமைத்தனத்திலிருந்து விடுதலை பெறுவீர்கள் என்றன பாம்புகள்”
sauti said, வினதையிடம் விடைபெற்று சென்ற கருடன்
garuda, சௌதி சொன்னார்
thus addressed by the snakes, இப்படிப் பாம்புகள் சொல்ல
then said unto his mother, அதைக் கேட்ட கருடன் தனது தாயிடம்
i shall go to bring amrita, நான் சென்று அமுதத்தைக் கொண்டு வருகிறேன்
i desire to eat something in the way, வழியிலேயே ஏதாவது நான் சாப்பிட விரும்புகிறேன்
direct me to it, எனக்கு வழிகாட்டுவாயாக என்றான்
vinata replied, வினதை
in a remote region in the midst of the ocean, தொலைதூரத்தில்
the nishadas have their fair home, நடுக்கடலில் நிஷாதர்களின் அழகான வசிப்பிடம் இருக்கிறது
having eaten the thousands of nishadas that live there, அங்கு வாழும் ஆயிரக்கணக்கான நிஷாதர்களைத் தின்று அமுதத்தைக் கொண்டு வருவாயாக
bring thou amrita, ஆனால்
but let not thy heart be ever set on taking the le of a brahmana, எந்த ஒரு பிராமணனின் உயிரையும் மாய்க்க உன் மனதில் எண்ணாதே
of all creatures a brahmana must not be slain, எல்லா உயிரினங்களிலும் பிராமணன் கொல்லப்படக்கூடாது
he is, அவன் உண்மையில் நெருப்பு போன்றவன்
indeed, ஒரு பிராமணன் கோபம் கொள்ளும்போது
like fire, நெருப்பு போல
a brahmana, அல்லது சூரியனைப் போல அல்லது கூரிய முனை கொண்ட ஆயுதம் போல அல்லது விஷம் போல ஆகிறான்
when angry, பிராமணன் எல்லா உயிரினங்களுக்கும் தலைவனாகச் சொல்லப்படுகிறான்
becomes like fire or the sun, இதற்காகவும்
like poison or an edged weapon, பிற காரணங்களுக்காகவும் ஒழுக்கம் மிகுந்தவர்களிடையே பிராமணன் போற்றப்படுகிறான்
a brahmana, அதனால் பிராமணர்களுடன் பகை என்பது எந்தச் சூழ்நிலையிலும் நல்லதல்ல
it has been said, ஓ மகனே! உனக்குக் கோபம் உண்டானாலும்
is the master of all creatures, பிராமணர்களைக் கொல்லாதிருப்பாயாக
for these and other reasons, ஓ பாவங்களற்றவனே! கடுமையான விரதங்கள் இருந்த ஒரு பிராமணனின் கோபம் எரிப்பது போல
a brahmana is the adored of the virtuous, சூரியனாலும் அக்னியாலும் கூட எரிக்க முடியாது
o child, இது போன்ற பல குறிப்புகளைக் கொண்டு ஒரு நல்ல பிராமணனை நீ அறியலாம்
he is never to be slain by thee even in anger, பிராமணனே எல்லா உயிர்களிலும் முன் பிறந்தவன்
hostility with brahmanas, நான்கு வர்ணங்களில் முதன்மையானவன்
therefore, அவன் எல்லா உயிரினங்களுக்கும் தந்தையும் தலைவனும் ஆகிறான் என்றாள்
would not be proper under any circumstances, கருடன்
o sinless one, ஓ தாயே! வினதையே
neither agni nor surya truly can consume so much as does a brahmana of rigid vows, பிராமணன் என்பவன் எந்த உருவத்தில் இருப்பான்? அவனுடைய நடத்தை எப்படியிருக்கும்? எந்தச் சக்திகள் கொண்டவனாக இருப்பான்? அவன் நெருப்பைப் போல ஒளிர்வானா? அல்லது அவன் அமைதிமிக்கவனா? ஓ தாயே
when angry, எந்தச் சிறந்த அறிகுறிகளைக் கொண்டு ஒரு பிராமணனை அடையாளம் காண முடியும்? எனக்கு நீ பதில் சொல்வதே உனக்குத் தகும் என்று கேட்டான்
by these various indications must thou know a good brahmana, வினதை
indeed, ஓ குழந்தாய்! உனது தொண்டையில் நுழைந்தவுடன்
a brahmana is the first-born of all creatures, மீன்முள் தைத்தது போலவோ
the foremost of the four orders, நிலக்கரி எரிவது போலவோ உனக்குத் துன்பத்தை ஏற்படுத்துபவனை
the father and the master of all, பிராமணர்களில் சிறந்தவனாக நீ அறிந்து கொள்வாயாக
garuda then asked, கோபத்தால் எந்த ஒரு பிராமணனையும் நீ கொல்லக்கூடாது என்றாள்
o mother, வினதை தனது மகன் கருடன் மீது கொண்ட பாசத்தால் மீண்டும்
of what form is a brahmana, உனது குடலால் செரிக்கப்பட முடியாதவனை நல்ல பிராமணனாக அறிந்து கொள்வாயாக என்றாள்
of what behaviour, பாம்புகளால் ஏமாற்றப்பட்டு
and of what prowess? doth he shine like fire, பெருந்துன்பத்திற்கு உள்ளான வினதை
or is he of tranquil mien? and, தனது மகனின் கருடனின் ஒப்பற்ற பலத்தை அறிந்திருந்தாலும் அவனை முழு மனதோடு ஆசிர்வதித்தாள்
o mother, மாருதன் காற்று தேவதை உனது சிறகுகளைக் காக்கட்டும்
it behoveth thee to tell my inquiring self, உனது முதுகெலும்பை சூரியனும் சந்திரனும் காக்கட்டும்
those auspicious signs by which i may recognise a brahmana, அக்னி உனது தலையைக் காக்கட்டும்
vinata replied, வசுக்கள் உனது முழு உடலையும் காக்கட்டும்
saying, நானும் உனது நன்மைக்காக இங்கே அமர்கிறேன்
o child, ஓ குழந்தாய்! பத்திரமாகச் சென்று உன் காரியத்தை முடிப்பாயாக என்று கூறினாள்
him shouldst thou know as the best, சௌதி தொடர்ந்தார்
amongst brahmanas who having entered thy throat would torture thee as a fish-hook or burn thee as blazing charcoal, தன் தாயின் இந்த வார்த்தைகளைக் கேட்ட கருடன்
a brahmana must never be slain by thee even in anger, தனது சிறகுகளை விரித்து
and vinata out of affection for her son, தனது சிறகுகளை விரித்து
again told him these words, வானத்தில் உயர்ந்தான்
him shouldst thou know as a good brahmana who would not be digested in thy stomach, வானத்தில் உயர்ந்தான்
although she knew the incomparable strength of her son, அந்தப் பெரும்பலம் வாய்ந்தவன்
yet she blessed him heartily, அந்தப் பெரும்பலம் வாய்ந்தவன்
for, பசித்தவன்
deceived by the snakes, பசித்தவன்
she was very much afflicted by woe, விரைவாகச் சென்று இன்னொரு எமனைப் போல நிஷாதர்கள் மீது விழுந்தான்
and she said, விரைவாகச் சென்று இன்னொரு எமனைப் போல நிஷாதர்கள் மீது விழுந்தான்
let marut the god of the winds protect thy wings, நிஷாதர்களைக் கொல்ல விரும்பிய அவன் கருடன்
and surya and soma thy vertebral regions, நிஷாதர்களைக் கொல்ல விரும்பிய அவன் கருடன்
let agni protect thy head, அந்த இடத்தில் பெரும் தூசிப்படலத்தைக் கிளப்பி ஆகாயத்தை மறைத்தான்
and the vasus thy whole body, அந்த இடத்தில் பெரும் தூசிப்படலத்தைக் கிளப்பி ஆகாயத்தை மறைத்தான்
i also, கடலிலிருந்து தண்ணீரை உறிஞ்சி எடுத்து கடலை வற்ற செய்து
o child engaged in beneficial ceremonies, கடலிலிருந்து தண்ணீரை உறிஞ்சி எடுத்து கடலை வற்ற செய்து
shall sit here for your welfare, மலைகளில் வளரும் மரங்களைக் குலுக்கினான்
go then, மலைகளில் வளரும் மரங்களைக் குலுக்கினான்
o child, அந்தப் பறவைகளின் மன்னன் கருடன்
in safety to accomplish thy purpose, அந்தப் பறவைகளின் மன்னன் கருடன்
sauti continued, தனது வாயால் அலகால்
then garuda, தனது வாயால் அலகால்
having heard the words of his mother, நிஷாதர்களுடைய நகரத்தின் முக்கிய வாயில்களை அடைத்து அந்த வாயைப் பெரிதாக்கினான்
stretched his wings and ascended the skies, நிஷாதர்களுடைய நகரத்தின் முக்கிய வாயில்களை அடைத்து அந்த வாயைப் பெரிதாக்கினான்
and endued with great strength, அந்த நிஷாதர்கள் பெரும் வேகத்துடன் பாம்பை உண்ணும் அவனது கருடனின் திறந்த வாய் இருக்கும் திசை நோக்கியே ஓடினர்
he soon fell upon the nishadas, அந்த நிஷாதர்கள் பெரும் வேகத்துடன் பாம்பை உண்ணும் அவனது கருடனின் திறந்த வாய் இருக்கும் திசை நோக்கியே ஓடினர்
hungry and like another yama, காற்றினால் அசைக்கப்பட்ட காட்டு மரங்களிலிருந்து எப்படி ஆயிரக்கணக்கான பறவைகள் பெரிதும் கலக்கமுற்று விண்ணில் எழுமோ
and bent upon slaying the nishadas, காற்றினால் அசைக்கப்பட்ட காட்டு மரங்களிலிருந்து எப்படி ஆயிரக்கணக்கான பறவைகள் பெரிதும் கலக்கமுற்று விண்ணில் எழுமோ
he raised a great quantity of dust that overspread the firmament, அவ்வாறே அந்த நிஷாதர்கள்
and sucking up water from amid the ocean, அவ்வாறே அந்த நிஷாதர்கள்
shook the trees growing on the adjacent mountains, புயலினால் உண்டான புழுதியில் குருடாகி அவர்களை வரவேற்க விரிந்து திறந்திருந்த கருடனின் வாயில் போய் விழுந்தனர்
and then that lord of birds obstructed the principal thoroughfares of the town of the nishadas by his mouth, புயலினால் உண்டான புழுதியில் குருடாகி அவர்களை வரவேற்க விரிந்து திறந்திருந்த கருடனின் வாயில் போய் விழுந்தனர்
increasing its orice at will, பிறகு அந்த எதிரிகளை அழிப்பவனும்
and the nishadas began to fly in great haste in the direction of the open mouth of the great serpent-eater, பிறகு அந்த எதிரிகளை அழிப்பவனும்
and as birds in great affliction ascend by thousand into the skies when the trees in a forest are shaken by the winds, பெரும் பலம் பொருந்தியவனும்
so those nishadas blinded by the dust raised by the storm entered the wide-extending cleft of garudas mouth open to receive them, பெரும் பலம் பொருந்தியவனும்
and then the hungry lord of all rangers of the skies, தன் காரியத்தை முடிக்கப் பெரும் லாகவத்தோடு நகர்பவனும்
that oppressor of enemies, தன் காரியத்தை முடிக்கப் பெரும் லாகவத்தோடு நகர்பவனும்
endued with great strength, பசித்தவனுமான அந்த விண்ணோடிகளின் தலைவன் கருடன்
and moving with greatest celerity to achieve his end, பசித்தவனுமான அந்த விண்ணோடிகளின் தலைவன் கருடன்
closed his mouth, மீன்பிடி தொழிலைச் செய்துவந்த எண்ணற்ற நிஷாதர்களைத் தன் வாயை மூடி கொன்றான் என்றார் சௌதி
killing innumerable nishadas following the occupation of fishermen, மீன்பிடி தொழிலைச் செய்துவந்த எண்ணற்ற நிஷாதர்களைத் தன் வாயை மூடி கொன்றான் என்றார் சௌதி
sauti continued, சௌதி தொடர்ந்தார்
a certain brahmana with his we had entered the throat of that ranger of the skies, அப்படிக் கருடன் நிஷாதர்களை விழுங்கிக் கொண்டிருக்கும் போது
the former began to burn the birds throat like a piece of flaming charcoal, ஒரு பிராமணன் தனது மனைவியுடன் அந்த விண்ணதிகாரியின் தொண்டைக்குள் புகுந்தான்
him garuda addressed, முன்னவன் பிராமணன் சுடர்விட்டெரியும் மரக்கரி போல் அந்தப் பறவையின் கருடனின் தொண்டையைச் சுட்டான்
saying, அவனிடம் கருடன்
o best of brahmanas, ஒ பிராமணர்களில் சிறந்தவரே
come out soon from my mouth which i open for thee, எனது வாயை உமக்காகத் திறக்கும்போது விரைவாக வெளியேறுவீராக
a brahmana must never be slain by me, என்னதான் பாவகரமான செயல்களிலேயே ஒரு பிராமணன் ஈடுபட்டுக் கொண்டிருந்தாலும்
although he may be always engaged in sinful practices, அவன் என்னால் கொல்லப்படக் கூடாதவன் என்றான்
unto garuda who had thus addressed him that brahmana said, இப்படிக் கருடன் சொன்னவுடன் அந்த பிராமணன்
o, ஓ
let this woman of the nishada caste, எனது மனைவியான இந்த நிஷாதப் பெண்ணும் என்னுடன் வெளியே வரட்டும் என்றான்
who is my we, அதற்குக் கருடன்
also come out with me, நிஷாத இனத்தைச் சேர்ந்த அந்தப் பெண்ணையும் உம்முடன் அழைத்துக் கொண்டு விரைவாக வெளியே வருவீராக
and garuda said, எனது குடலின் வெப்பத்தால் இன்னும் நீங்கள் செரிக்கப்படாமல் இருப்பதால்
taking the woman also of the nishada caste with thee, காலந்தாழ்த்தாமல் உங்களைக் காப்பாற்றிக் கொள்வீராக என்றான்
come out soon, சௌதி தொடர்ந்தார்
save thyself without delay since thou hast not yet been digested by the heat of my stomach, அதன் பிறகு அந்த பிராமணன் நிஷாத இனத்தைச் சேர்ந்த தன் மனைவியுடன் வெளியே வந்து கருடனைப் புகழ்ந்து
sauti continued, தான் விரும்பிய வழியில் சென்றான்
and then that brahmana, பிராமணன் தனது மனைவியுடன் வெளியே வந்தவுடன்
accompanied by his we of the nishada caste, அந்தப் பறவை மன்னன் கருடன்
came out, இறகுகளை விரித்து மனோ வேகத்துடன் விண்ணில் ஏறினான்
and praising garuda wended whatever way he liked, அப்போது அவன் தனது தந்தையைக் கசியபரை கண்டான்
and when that brahmana had come out with his we, அவரால் கசியபரால் அழைக்கப்பட்ட ஒப்புயர்வற்ற ஆற்றலுடைய அந்தக் கருடன்
that lord of birds, அவரிடம் சரியாகப் பேசினான்
fleet as the mind, அந்தப் பெரும் முனிவர் கசியபர் ஓ குழந்தாய்! கருடா
stretching his wings ascended the skies, நீ நன்றாக இருக்கிறாயா? நாளும் உனக்குத் தேவையான உணவு கிடைக்கிறதா? மனிதர்களின் உலகத்தில் உனக்கு நிறைய உணவு கிடைக்கிறதா? என்று கேட்டார்
he then saw his father, கருடன்
and, என் தாய் வினதை நன்றாக இருக்கிறாள்
hailed by him, என் தமையனும் அருணனும்
garuda, [] நானும் அப்படியே இருக்கிறோம்
of incomparable prowess made proper answers, ஆனால் தந்தையே
and the great rishi kasyapa then asked him, எனக்கு எப்போதும் போதுமான அளவுக்கு உணவு கிடைப்பதில்லை
o child, அதனால் எனது உள்ளத்தில் அமைதி இல்லை
is it well with thee? dost thou get sufficient food every day? is there food in plenty for thee in the world of men?, அற்புதமான அமுதத்தைக் கொணர்வதற்காகப் பாம்புகளால் நான் அனுப்பப்பட்டிருக்கிறேன்
garuda replied, என் தாயை வினதையை அடிமைக் கட்டிலிருந்து விடுவிக்க
my mother is ever well, இன்று நான் கண்டிப்பாக அதைக் கொணர்வேன்
and so is my brother, [] ராமாயணத்தில் வரும் ஜடாயு மற்றும் சம்பாதி ஆகியோரின் தந்தையே அருணன்
and so am i, நிஷாதர்களை உண்பாயாக என்று என் தாய் வினதை எனக்குக் கட்டளையிட்டாள்
but, நான் அவர்களை ஆயிரக்கணக்கில் தின்றேன்
father, ஆனாலும் எனது பசி அடங்கவில்லை
i do not always obtain plenty of food, எனவே
for which my peace is incomplete, ஓ போற்றுதலுக்குரியவரே கசியபரே
